PR ID,PR URL,Initial Hallucination Type,Final Hallucination Type,Evolution Type,Final PR Status,Evidence,,,,,,,,,,,,
PR135,https://github.com/AHartNtkn/SkillMaster/pull/22,Code-Inconsistency,Code-Inconsistency,Persistence,Closed,"The progress-tracking implementation introduced localStorage-based xp_log and skill_events data structures and integrated them into the application. The PR contains only one commit, with no subsequent revision correcting the initially identified unsupported data/storage assumptions before the PR was closed.",,,,,,,,,,,,
PR146,https://github.com/MelkorBalrog/VDSS---Vehicle-Dynamics-Safety-Simulator/pull/38,Knowledge-Related,Knowledge-Related,Persistence,Merged,"The PR contains a single commit adding HELP.md, which documents specific repository features, files, dependencies, and execution procedures. No subsequent revision or corrective commit was made before the same documentation was merged.",,,,,,,,,,,,
PR148,https://github.com/ProYJ92/BPE-Lab_CFD/pull/233,Code-Inconsistency,Code-Inconsistency,Persistence,Merged,Final password.html still embeds an encoded password in client-side JavaScript and decodes it with atob() for comparison. The additional “Update search index” commit does not correct this implementation.,,,,,,,,,,,,
PR170,https://github.com/auto-res2/auto-research/pull/71,Knowledge-Related,Knowledge-Related,Persistence,Closed,"PR reports successfully tested VG-DD experiments, but the implementation relies on dummy/random images, token IDs, visual features, and demonstration-level evaluation; no CI checks or real benchmark-based validation are shown.",,,,,,,,,,,,
PR174,https://github.com/arielTROY/ESPHome-Panel-example/pull/5,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"Simplified ato.yaml dependency syntax to address the reported parsing error; PR was merged despite two failing GitHub Actions checks, with no visible evidence of hallucinated implementation.",,,,,,,,,,,,
PR193,https://github.com/ndrstmr/dt3-pace/pull/5,Knowledge-related,None,Correction,Merged,"Initial review suggested framework-specific inconsistencies. The final merged implementation consistently integrates controllers, repositories, models, templates, TCA configuration, JavaScript, and tests without observable framework misuse or fabricated APIs.",,,,,,,,,,,,
PR203,https://github.com/itdojp/ITDO_ERP2/pull/616,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"The PR claims to implement a ""Complete Multi-Location Inventory Platform,"" but the available evidence primarily shows backend API additions, tests, CI/CD updates, and bug fixes. The screenshots do not demonstrate completion of the entire platform or all claimed functionality. Additionally, several workflow validation checks remain unsuccessful, so the broad completion claim is not fully substantiated by the available implementation evidence.",,,,,,,,,,,,
PR213,https://github.com/Anupvarma38/anupkumarvarma.github.io/pull/2,Code-Inconsistency,None,Correction,Merged,"The implementation aligns with the stated objective of updating the website design and functionality. The diff demonstrates substantial UI improvements, enhanced styling, animations, interactive behaviors, and JavaScript enhancements that directly support the PR title and commit description. No unsupported claims or framework inconsistencies are evident from the available implementation.",,,,,,,,,,,,
PR214,https://github.com/sslinkyy/AISubaruTuner/pull/62,Knowledge-Related,None,Correction,Merged,"The initial implementation contained an incorrect semantic interpretation of X/Y axis handling, as identified during code review. The final merged implementation corrects the axis-to-dimension mapping (sizex for X-axis and sizey for Y-axis), introduces parent-aware dimension inheritance for child tables, and adds support for simplified Carberry XML axis definitions. The semantic misunderstanding present in the initial implementation is no longer evident in the merged code.",,,,,,,,,,,,
PR228,https://github.com/talha7104/graph-builder-agent2/pull/5,Requirement-Conflicting,None,Correction,Merged,"The merged implementation consistently updates the AgentName import, refactors the Ollama model integration to use the new FunctionModel interface, updates agent construction to call ollama_model(), and adjusts registry references accordingly. The changes are technically related to the dependency migration and model integration rather than introducing unrelated functionality. The final implementation does not provide evidence of a requirement-conflicting hallucination.",,,,,,,,,,,,
PR229,https://github.com/GlacierEQ/infranodus/pull/11,Requirement-Conflicting,None,Correction,Open,"The latest implementation consistently develops the upgrades module by adding dedicated routes, configuration, an UpgradeService with reload functionality, ChargeBee configuration and error handling, debounce logic for file watching, and corresponding unit tests. Review comments from Amazon Q and Sourcery were addressed in subsequent revisions. The additional changes remain directly related to the upgrades module rather than introducing unrelated functionality, so there is no remaining evidence of a requirement-conflicting hallucination.",,,,,,,,,,,,
PR235,https://github.com/Radilovk/face/pull/39,Requirement-Conflicting,None,Correction,Merged,"The latest implementation removes the previous stylesheet reference, introduces a Tailwind configuration and CDN setup, and refactors the HTML to use Tailwind utility classes throughout the interface. The observed changes remain aligned with the stated objective of replacing the CSS with a Tailwind-based implementation, with no clear evidence that the original requirement is still violated.",,,,,,,,,,,,
PR241,https://github.com/ayjays132/SelfResearch/pull/18,Code-Inconsistency,Code-Inconsistency,Persistence,Merged,"The final implementation introduces AdvancedPromptOptimizer using torch, Hugging Face transformers, and the sentence-transformers/paraphrase-MiniLM-L6-v2 embedding model, while the provided revision does not show corresponding dependency declarations or package configuration updates. The implementation and tests continue to assume these external dependencies are available, so the unsupported dependency assumption remains unresolved.",,,,,,,,,,,,
PR243,https://github.com/Saifalhail/devfolio/pull/60,Knowledge-Related,Knowledge-Related,Persistence,Merged,"The revision only adds src/__tests__/authenticationTests.js, which imports @testing-library/react, jest, and ../__mocks__/authContext without any accompanying evidence of repository configuration, dependency declarations, or supporting mock implementations. The test continues to rely on unsupported repository infrastructure assumptions.",,,,,,,,,,,,
PR258,https://github.com/F43M/DevAI-R1/pull/155,Code-Inconsistency,None,Correction,Merged,"The revision introduces a consistent fallback for missing rich dependencies in tests/conftest.py, adds a reusable DummyUI abstraction, replaces ad-hoc mocking with monkeypatched UI creation, and expands CLI test coverage (including plain mode). The previous inconsistency in dependency handling is addressed, and the test infrastructure becomes internally consistent.",,,,,,,,,,,,
PR259,https://github.com/aroflo1958/Prueba01/pull/3,Knowledge-Related,Knowledge-Related,Persistence,Open,"The revision substantially expands the README with detailed medical guidance, GOLD 2025 diagnostic criteria, patient data requirements, severity interpretation, and treatment-related descriptions. However, the provided evidence only shows documentation changes and does not verify that these domain-specific medical claims are supported by repository resources or implementation. Therefore, the unsupported knowledge assumptions remain.",,,,,,,,,,,,
PR266,https://github.com/ajbmachon/qwen-assistant/pull/3,Code-Inconsistency,Code-Inconsistency,Persistence,Merged,"The final revision still includes behavioral modifications beyond validation and logging, including changes to MCP request execution, asynchronous response handling, validator initialization, and request/response processing. These functional changes extend beyond the stated refactoring objective, so the original Code-Inconsistency remains unresolved.",,,,,,,,,,,,
PR275,https://github.com/parkerreno/fcarstat.net/pull/2,Knowledge-Related,Knowledge-Related,Persistence,Draft,"The updated README and project metadata continue to claim compatibility with Forza Horizon 4 and other Forza titles without repository evidence, implementation changes, or validation supporting these broader compatibility statements.",,,,,,,,,,,,
PR282,https://github.com/Alazizxan/Vidit/pull/1,Code-Inconsistency,Code-Inconsistency,Persistence,Merged,"The final implementation continues to combine extensive functional logic (API fetching, task loading, submission workflow, routing, navigation, and state management) with the UI redesign. The available revision does not show that the original inconsistency between the presented functionality and implemented behavior was removed, so the Code-Inconsistency remains.",,,,,,,,,,,,
PR286,https://github.com/PetrefiedThunder/Prep/pull/7,Knowledge-Related,Knowledge-Related,Persistence,Closed,"The final revision still introduces a GitHub Actions workflow that assumes the existence of repository testing and linting infrastructure (e.g., pytest, flake8, and related project setup) without evidence in the available repository changes. The README continues to document this assumed workflow, and no revision addresses these unsupported repository assumptions.",,,,,,,,,,,,
PR290,https://github.com/Galjoentopper/bot/pull/23,Code-Inconsistency,Code-Inconsistency,Persistence,Merged,"The final merged revision still contains placeholder implementations (pass) in the performance tracking component and introduces TensorFlow-based functionality without evidence of corresponding dependency or infrastructure support. These implementation inconsistencies remain unresolved, indicating that the original Code-Inconsistency hallucination persists.",,,,,,,,,,,,
PR293,https://github.com/sw1029/robust-malware-graph/pull/547,Knowledge-Related,Cannot be Determined,Cannot be Determined,Merged,"PR was inaccessible (GitHub 404), so the final revision could not be examined.",,,,,,,,,,,,
PR294,https://github.com/absolemlee/oraculo/pull/16,Knowledge-Related,None,Correction,Merged,"The final merged revision adds a corresponding shadcn:init script to package.json while updating the README to reference that script. The documentation is now supported by the repository implementation, resolving the previously unsupported dependency assumption.",,,,,,,,,,,,
PR295,https://github.com/wagskydive/ai-telephone/pull/12,Knowledge-Related,None,Correction,Merged,"The initial review flagged unsupported documentation claims regarding completed testing. In the final merged revision, the available implementation and accompanying tests no longer provided sufficient evidence to support the hallucination label; therefore, the initial hallucination was considered resolved.",,,,,,,,,,,,
PR297,https://github.com/ai-surfers/pocket-prompt-frontend/pull/270,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"The PR claims to enable editing of AI-suggested prompts, but removes the state and prop handling responsible for managing selected AI suggestions. The final implementation submits only the direct input values (input.title and input.description), leaving the advertised editing workflow incompletely preserved.",,,,,,,,,,,,
PR304,https://github.com/cedricNA/nutri-flex-pal/pull/106,Code-Inconsistency,None,Correction,Merged,"The final merged implementation successfully adds the FoodJournal route and navigation entries while integrating the new page into the application. The observed refactoring of the FoodJournal component is consistent with the feature implementation, and no clear inconsistency between the stated objective and the final code remains.",,,,,,,,,,,,
PR305,https://github.com/keatonwilson/cartoTaco/pull/3,Code-Inconsistency,None,Correction,Merged,"The final merged implementation consistently refactors application state into centralized stores and updates dependent components to use the new data flow. The changes remain aligned with the stated refactoring objective, and no observable inconsistency between the intended functionality and the implemented code remains.",,,,,,,,,,,,
PR312,https://github.com/Moobiai101/Moobi-Studio/pull/1,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"The PR claims to fix a security vulnerability, but the implementation only obfuscates API keys using reversible encoding rather than providing secure storage or encryption. The code and accompanying comments explicitly acknowledge that the solution is not secure, so the stated security-fix requirement is not fully satisfied despite the PR being merged.",,,,,,,,,,,,
PR315,https://github.com/amiralhafiz/Router-Manager/pull/22,Requirement-Conflicting,Requirement-Conflicting,Persistence,Closed,"The PR claims to add a network security configuration, but the introduced configuration explicitly enables cleartextTrafficPermitted=""true"", allowing unencrypted HTTP traffic. This weakens transport security rather than improving it, so the implementation conflicts with the stated security objective.",,,,,,,,,,,,
PR321,https://github.com/smitopher/oh-expose/pull/2,"Requirement-Conflicting, Knowledge-Related","Requirement-Conflicting, Knowledge-Related",Persistence,Merged,"The PR is described as an ingress deployment update, but it additionally introduces PostgreSQL, Vault, Keycloak, monitoring components, operators, and related infrastructure without evidence that these were requested. These unsupported architectural additions remain in the merged PR, so the hallucinations persist.",,,,,,,,,,,,
PR324,https://github.com/McPolitics/SP_Sim/pull/12,"Code-Inconsistency, Requirement-Conflicting",None,Correction,Merged,"The final implementation matches the requested feature by introducing the AI Opposition System, integrating it into GameEngine.js, adding debate response handling, reset logic, event listeners, and comprehensive unit tests. The screenshots provide no evidence of fabricated functionality, unsupported APIs, or contradictions with the requested roadmap feature. Although the CI pipeline failed (lint-test-build), the failure alone does not demonstrate the presence of hallucinations. Therefore, the initially identified Requirement-Conflicting and Code-Inconsistency hallucinations are not supported by the final implementation, indicating a Correction.",,,,,,,,,,,,
PR326,https://github.com/Xe/project-template/pull/4,Code-Inconsistency,None,Correction,Closed,"The final implementation correctly moves the environment variables (DATABASE_URL and REDIS_URL) from the unsupported workflow-level env block to the build job-level env section in .github/workflows/go.yaml, which directly addresses the stated CI/CD workflow issue. The diff shows no contradictory or fabricated logic, and the intended workflow modification is implemented consistently. Although some CI checks (Go build and Commitlint) still failed, the screenshots do not demonstrate that these failures were caused by the workflow change itself. Therefore, there is no remaining evidence of Code-Inconsistency in the final implementation, indicating a Correction.",,,,,,,,,,,,
PR327,https://github.com/Myst1cX/lyrics-ext/pull/2,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"The PR claims complete 1:1 feature parity with spotify-web-lyrics-plus pip-gui-stable.user.js, but the provided evidence primarily shows documentation (USAGE.md), demo pages (demo-visual.html, test.html), keyboard shortcut updates (manifest.json), and a large hidden diff (providers.js) that cannot be verified. Since the implementation evidence does not substantiate the claimed full feature parity, the initial Requirement-Conflicting hallucination remains unresolved, indicating Persistence.",,,,,,,,,,,,
PR335,https://github.com/siteboon/claudecodeui/pull/129,Requirement-Conflicting,Requirement-Conflicting,Persistence,Closed,"The PR introduces extensive documentation (CLAUDE_CODE_UI_DOCUMENTATION.md, ENHANCED_README.md) claiming complete transparency, project management, Git integration, security controls, mobile support, and other advanced capabilities. However, the visible implementation only shows limited additions such as ToolExecutionMonitor.jsx and does not provide sufficient evidence that the documented feature set is actually implemented. Since the implementation does not substantiate the documented claims before the PR was closed, the Requirement-Conflicting hallucination persists.",,,,,,,,,,,,
PR344,https://github.com/miamicreme/AgentForgeHQ/pull/63,Code-Inconsistency,Code-Inconsistency,Persistence,Merged,"The PR removes the existing Express route files (backend/src/routes/agents.ts and backend/src/routes/chat.ts) while introducing new /save-agent and /create-agent endpoints only in services/agent-api/src/index.ts. The screenshots provide no evidence that these endpoints are integrated into the existing backend routing architecture or that removed routes are replaced elsewhere. Additionally, the CI build check failed, indicating the architectural inconsistency remained unresolved. Therefore, the initial Code-Inconsistency hallucination persists in the final merged PR.",,,,,,,,,,,,
PR349,https://github.com/misterfitzy/codespaces-models/pull/5,Requirement-Conflicting,Cannot be Determined,Cannot be Determined,Closed,"PR was inaccessible (GitHub 404), so the final revision could not be examined.",,,,,,,,,,,,
PR353,https://github.com/coding-liki-ya/active-ai/pull/1,"Code-Inconsistency, Requirement-Conflicting","Code-Inconsistency, Requirement-Conflicting",Persistence,Merged,"The PR introduces a neural network skeleton, OpenGL compute shader (shaders/neuron.comp), rendering shaders, and C++ scaffolding (main.cpp, neural_net.cpp, neural_net.h). However, the screenshots only show framework code and shader definitions without evidence that GPU-based neural network computation is fully implemented, executed, or validated. The PR title claims a ""GPU-based neural network skeleton,"" but the visible implementation remains a partial architectural scaffold rather than a complete GPU neural network pipeline. Thus, the Code-Inconsistency (partial implementation vs. claimed functionality) and Requirement-Conflicting (claimed GPU functionality not fully realized) hallucinations remain unresolved and persist in the final merged PR.",,,,,,,,,,,,
PR359,https://github.com/sdl06/deepsite-django/pull/1,Code-Inconsistency; Requirement-Conflicting,Code-Inconsistency; Requirement-Conflicting,Persistence,Merged,"The PR introduces a Django backend by adding backend/config, backend/api, manage.py, requirements.txt, Django settings, URLs, and API views. The README is updated to include Django installation and execution commands (python backend/manage.py runserver). However, the changes only add a parallel Django implementation and do not provide evidence that the original Node.js backend has been completely removed or migrated. The PR title explicitly claims ""Replace Node backend with Django,"" while the visible implementation reflects only the addition of a Django backend rather than a complete framework replacement. Consequently, the Code-Inconsistency (implementation does not fully match the claimed replacement) and Requirement-Conflicting (migration objective remains incomplete) hallucinations persist in the final merged PR.",,,,,,,,,,,,
PR361,https://github.com/JamesJongmin/Coffee-Market-Updates/pull/14,Knowledge-Related; Code-Inconsistency,Knowledge-Related; Code-Inconsistency,Persistence,Open,"The PR introduces optimization artifacts such as OPTIMIZATION_RESULTS.md, index-optimized.html, CSS refinements, image optimization scripts, and preload optimizations. However, the optimization report makes numerous quantitative claims (e.g., 87% HTML reduction, 60% complexity reduction, 92–94% image optimization, and significant performance improvements) without providing benchmark results, profiling data, execution logs, or measured performance evidence. Additionally, several claimed improvements in the report are broader than what is directly demonstrated by the visible code changes. Consequently, the Knowledge-Related hallucination persists because unsupported performance claims are presented as factual, while the Code-Inconsistency hallucination persists because the documented optimization results exceed the evidence available in the implementation.",,,,,,,,,,,,
PR367,https://github.com/VRSEN/deep-research-agent-tutorial/pull/1,Knowledge-Related,Knowledge-Related,Persistence,Closed,"The refactoring extracts shared streaming and Copilot demo functionality into a new demo_utils.py module and updates both BasicResearchAgency and DeepResearchAgency to use the shared utilities. However, the implementation assumes architectural compatibility between distinct agent workflows by introducing generalized interfaces (e.g., stream_demo(agency) and copilot_demo(agency, post_process=...)) and conditional behavior based on agency.root_agent.name. The screenshots do not provide evidence that these assumptions are valid across all supported agency implementations or project configurations. Because these architectural assumptions are introduced without supporting validation, documentation, or compatibility evidence, the Knowledge-Related hallucination remains unresolved and therefore persists.",,,,,,,,,,,,
PR374,https://github.com/zaghl0ul/OpenClipPro/pull/4,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"The pull request is titled ""Analyze UI elements for poor webpage appearance,"" indicating a UI analysis and refactoring objective. However, the implementation extends well beyond that scope by introducing a comprehensive design system overhaul, including new gradient utilities, glass morphism effects, animation utilities, redesigned button and card components, theme restructuring, Tailwind configuration changes, default theme replacement (cyberpunk ? glassmorphism), and extensive additions to themes.css. These changes represent a broad redesign rather than a focused analysis or refinement of problematic UI elements. Since the implementation continues to exceed the stated objective and no subsequent changes narrow the scope or align it with the original requirement, the Requirement-Conflicting hallucination remains unresolved and therefore persists.",,,,,,,,,,,,
PR378,https://github.com/chen3088/ECCI-grain-boundary-detector/pull/1,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"The pull request is described as a refactoring into a modular pipeline, implying a structural reorganization of the existing project. However, the implementation introduces numerous new functional modules rather than simply reorganizing existing code. New capabilities include grain-size analysis (analysis/line_intersection.py), interactive image cropping (crop/crop_tool.py), configurable preprocessing parameters (config.py), edge enhancement using CLAHE, Gaussian blur, median filtering, and Canny detection (preprocessing/enhance_edges.py), visualization utilities (visualization/overlay_and_plot.py), and new file I/O helpers (utils/file_io.py). These additions substantially expand the system's functionality beyond project restructuring. Because the implementation continues to exceed the stated refactoring objective without subsequently aligning with the original requirement, the Requirement-Conflicting hallucination remains unresolved and therefore persists.",,,,,,,,,,,,
PR381,https://github.com/b2bot/Dashboard/pull/8,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"Although the PR was intended only to fix the dashboard header label, it also introduced unrelated changes in useSheetData.ts. Because the implementation extends beyond the stated bug-fix scope, the Requirement-Conflicting hallucination persists.",,,,,,,,,,,,
PR387,https://github.com/opentelemetrybot/opentelemetry-ebpf-instrumentation/pull/52,Requirement-Conflicting,Requirement-Conflicting,Persistence,Draft,"The PR states that no changes are needed, and the diff contains no implementation despite proposing repository maintenance. Therefore, the Requirement-Conflicting hallucination persists.",,,,,,,,,,,,
PR392,https://github.com/biggleem/nft-inspector/pull/1,Code-Inconsistency,Code-Inconsistency,Persistence,Merged,"The initial implementation was classified as Code-Inconsistency because the bug fix introduced an unrelated pagination issue. The PR contains a single commit and no subsequent corrective revision is visible before merge. Therefore, there is no observable evidence that the identified inconsistency was corrected or transformed prior to integration.",,,,,,,,,,,,
PR395,https://github.com/Jhvictor4/TradingAgents/pull/1,Knowledge-Related,Knowledge-Related,Persistence,Closed,"The initial specification contained unsupported technical assumptions and quantitative claims, including performance, trading-frequency, profitability, latency, and availability targets. The PR contains only one commit and no subsequent revision or corrective update. It was ultimately closed with unmerged commits, leaving the initially identified Knowledge-Related hallucination unchanged in the final observable submission.",,,,,,,,,,,,
PR398,https://github.com/carmelo0511/ici-ca-pousse/pull/10,"Code-Inconsistency, Requirement-Conflicting","Code-Inconsistency, Requirement-Conflicting",Persistence,Closed,"The initial PR was labeled with Code-Inconsistency and Requirement-Conflicting hallucinations due to potential implementation inconsistencies and incomplete integration introduced during extraction of the calendar, workout, and statistics UI into separate components. GitHub shows only one commit (de010ba) and no subsequent corrective revision. The PR was ultimately closed without merge, so there is no evidence that either initially identified hallucination was corrected or transformed before closure.",,,,,,,,,,,,
PR401,https://github.com/MRoie/lego-loco-cluster/pull/14,Knowledge-Related,Knowledge-Related,Persistence,Merged,"The agent introduced detailed documentation describing a proposed Windows 95 cluster architecture and future implementation tasks, including WebSocket signaling, VNC/WebRTC proxying, QEMU/PCem/Wine container images, Kubernetes deployment, TAP networking, PulseAudio/GStreamer streaming, health-test scripts, and a VR interface. The PR contains only one commit (074dc64) and no subsequent revision or corrective commit is visible. Therefore, the initially identified knowledge-related hallucination remains unchanged in the final merged version.",,,,,,,,,,,,
PR402,https://github.com/adil95400/dropflow/pull/19,Knowledge-Related,Knowledge-Related,Persistence,Open,"The initial submission introduces documentation containing unsupported factual claims about DropFlow, including specific pricing tiers and capabilities, privacy/data-handling statements, notification functionality, API-key configuration, subscription/billing behavior, and terms/policies. Corresponding UI pages were also modified to link users to these documentation files. The PR contains only one commit (51fb60e) and no subsequent corrective revision is visible. Therefore, the unsupported knowledge claims remain in the latest available version. The PR remains open and has a failed Vercel deployment/check together with an unresolved merge conflict.",,,,,,,,,,,,
PR404,https://github.com/forever-august/renews/pull/58,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"The initial implementation was classified as requirement-conflicting because the claimed admin-management functionality was only partially fulfilled. The PR adds is_admin, add_admin, and remove_admin methods to AuthProvider, creates an admins table linked to users.username, implements the corresponding SQLite operations, and adds a test covering add/check/remove behavior. However, the PR contains only one commit (b16162b), with no subsequent implementation revision addressing the previously identified requirement-level incompleteness. The same implementation therefore constitutes both the initial and final available version. GitHub shows the PR as merged, and the checks passed.",,,,,,,,,,,,
PR410,https://github.com/Undisclosed-alt/Storycraft/pull/8,Code-Inconsistency,Code-Inconsistency,Persistence,Failed,"The implementation continues to use inconsistent field names (image, imageUrl, and image_url) across the schema, persistence layer, and editor logic. The follow-up commit focuses on PostCSS/build fixes and does not resolve the inconsistency.",,,,,,,,,,,,
PR424,https://github.com/elmtalab/propaganda-UI/pull/14,Requirement-Conflicting,Requirement-Conflicting,Persistence,Passed,The implementation consistently provides a generic chat interface and logging functionality without implementing the requested Telegram-style behavior. No subsequent revision corrected this mismatch before merge.,,,,,,,,,,,,
PR428,https://github.com/Ninvaxx/ninvax/pull/71,Code-Inconsistency,Code-Inconsistency,Persistence,Failed,"The feature implementation remained inconsistent with the project's validation requirements throughout the PR. The workflow checks failed, and no subsequent revision corrected the inconsistency.",,,,,,,,,,,,
PR429,https://github.com/opentelemetrybot/opentelemetry-rust-contrib/pull/12,Requirement-Conflicting,Requirement-Conflicting,Persistence,Closed,The PR never implemented the requested GitHub workflow permission changes. It remained without code changes until it was closed.,,,,,,,,,,,,
PR442,https://github.com/drivly/mdx/pull/15,Code-Inconsistency,Code-Inconsistency,Persistence,Failed,"The implementation repeatedly changed its approach (configuration copying ? environment-variable workaround ? working-directory workaround ? CI fix) without consistently implementing the intended configuration behavior, demonstrating persistent implementation inconsistency across revisions.",,,,,,,,,,,,
PR447,https://github.com/reganludwar/prepright-chatbot/pull/32,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"The requested task was to restore original heading sizes, but the implementation only changed global font sizes (html, body, input, textarea, button) and never restored heading (h1–h6) styles. No later commit corrected this mismatch.",,,,,,,,,,,,
PR457,https://github.com/HomeCoding/test-co-parser/pull/4,Knowledge-Related,Knowledge-Related,Persistence,Merged,"The parser relies on unsupported assumptions about the target website's HTML structure, CSS selectors, and price extraction patterns. Subsequent commits removed fake fallback products and cleaned the implementation but did not validate or eliminate these assumptions.",,,,,,,,,,,,
PR458,https://github.com/AcashaOrg/inspire/pull/5,Knowledge-Related,Knowledge-Related,Persistence,Merged,"The pull request introduced a complete Supabase SQL schema, authentication model, Row-Level Security policies, and relational database design based on unsupported project assumptions. Since the PR contains only one commit, these fabricated architectural assumptions remained unchanged in the final merged version.",,,,,,,,,,,,
